CustomerID,성별,나이,금융자산(억),부동산(억),연간수익률(%),투자목표(Purpose),투자기간(InvestmentHorizion),위험선호도(RiskTolerance),신용등급(CreditRating)
1,M,50s,114.96,11.26,-1.561179884352326,Retire,Long,Active,BBB
2,F,50s,29.91,82.72,19.66703881427513,Retire,Short,Safe,BBB
3,F,70+,15.57,100.3,4.794415994766088,Stable,Long,Safe,BBB
4,M,50s,33.06,36.37,-5.70493442623442,Stable,Short,Neutral,BBB
5,M,70+,19.29,206.7,7.622697602704331,Retire,Medium,Neutral,A
6,M,40s,18.29,69.37,9.079709792987,Growth,Medium,Neutral,A
7,M,60s,42.37,61.21,-2.045503232052126,Retire,Short,Neutral,AAA
8,F,60s,8.31,16.07,0.108740851800837,Growth,Medium,Safe,AAA
9,F,40s,9.44,58.25,-7.6863258540658785,Stable,Medium,Active,AAA
10,F,50s,30.43,40.25,4.21327011450503,Stable,Medium,Active,AA
11,M,40s,29.43,52.87,1.5427503883529203,Retire,Medium,Neutral,AAA
12,F,60s,39.44,17.88,0.1377447240310969,Growth,Long,Neutral,AAA
13,F,50s,134.31,37.16,-5.352748007816288,Stable,Short,Neutral,A
14,M,60s,32.58,15.88,11.57652280506749,Stable,Long,Safe,BBB
15,M,40s,48.35,5.0,3.556359148279453,Stable,Long,Safe,BBB
16,M,50s,13.73,81.33,-3.5261989237946545,Growth,Short,Avoid,AA
17,M,40s,55.39,8.57,-0.176819987908372,Retire,Medium,Active,A
18,M,50s,19.67,36.47,-0.762065330352979,Retire,Long,Safe,AAA
19,M,60s,31.73,44.69,2.318102473161177,Retire,Long,Avoid,AAA
20,M,70+,27.47,44.43,4.208863423481346,Growth,Short,Neutral,A
21,F,60s,68.47,25.67,-2.7806457938897133,Stable,Medium,Avoid,AA
22,M,50s,10.51,42.27,4.9835835852391375,Growth,Medium,Avoid,BBB
23,M,70+,5.0,50.6,10.78248796659562,Growth,Long,Neutral,BBB
24,M,60s,25.26,64.17,-3.5433790567018564,Growth,Long,Neutral,AAA
25,M,70+,43.59,157.61,10.435434656389964,Stable,Short,Neutral,AA
26,F,50s,33.85,40.89,-1.474939599244296,Stable,Medium,Neutral,AAA
27,M,50s,80.3,35.08,7.697934082360991,Growth,Medium,Neutral,AAA
28,M,40s,42.52,14.64,-1.0590394854386287,Retire,Long,Neutral,AAA
